타임스탬프,몇학년이신가요!? (A),성별은요!? (A),학과(전공)가 어떻게 되세요? (A),취미가 어떻게 되세요!? (A),휴대폰을 주로 이용하는 시간대가 어떻게 되세요? (K),휴대폰을 하루에 몇시간정도 이용하나요? (K),"휴대폰으로 주로 무얼 하나요?(게임, SNS, 정보검색 등) (K)",자기 전 1시간 이내에 휴대폰을 이용하시나요? (K),여가시간에 전자기기를 제외하고 주로 무얼 하시나요? (K),학교 수업 외로 하루 평균 공부 시간은 얼마나 되시나요? (A),주로 집중적으로 공부하는 시간은 언제인가요? (A),취업 후 기대하는 연봉은 얼마인가요!? (A),학과(전공) 선택에 만족하시나요!? (A),전공 관련 취업 선호도는 어느정도인가요? (A),하루 평균 소셜 미디어 사용 시간은 얼마나 되나요? (A),집에서 학교까지 오는데 걸리는 시간은 어느정도인가요? (A),학업 스트레스는 어느정도인가요? (A),교우관계는 어떠신가요? (A),아르바이트를 하시나요!? (A),방과후 수업을 하시나요!? (A),
2023. 10. 12 오후 4:48:22,3학년,남자,스마트웹콘텐츠과,기타,새벽에(00시~6시),3~5시간,SNS,한다,,0-30분,기타,모르겠다,X,0,0-30분,30-1시간,4,2,X,X,
2023. 10. 12 오후 4:51:27,3학년,남자,스마트웹콘텐츠과,음악,저녁에(17시~20시),3~5시간,게임,안한다,"문화생활(영화, 뮤지컬 등)",2시간-3시간 이상,밤,1억,X,5,2시간-3시간 이상,30-1시간,4,1,X,X,
2023. 10. 12 오후 5:04:13,1학년,여자,소프트웨어개발과,음악,밤에(20시~24시),1~3시간,"영상 시청(유튜브, OTT)",한다,"문화생활(영화, 뮤지컬 등)",1시간-2시간,밤,3600,X,5,30-1시간,10-30분,3,2,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 5:05:37,1학년,남자,소프트웨어개발과,게임,저녁에(17시~20시),1~3시간,"영상 시청(유튜브, OTT)",안한다,스포츠 활동,2시간-3시간 이상,밤,4700만원,O,10,0-30분,10-30분,4,1,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 5:18:46,2학년,남자,금융경영과,게임,밤에(20시~24시),1~3시간,"영상 시청(유튜브, OTT)",한다,스포츠 활동,30분-1시간,밤,3000만원~3500만원,O,10,0-30분,30-1시간,2,1,O,X,
2023. 10. 12 오후 5:32:11,2학년,남자,금융경영과,기타,밤에(20시~24시),1~3시간,SNS,한다,스포츠 활동,0-30분,방과후(저녁),3천이상,X,5,2시간-3시간 이상,10-30분,2,1,X,X,
2023. 10. 12 오후 5:32:58,2학년,여자,금융경영과,영상시청,밤에(20시~24시),5~7시간,"영상 시청(유튜브, OTT)",한다,공부,2시간-3시간 이상,방과후(저녁),500~,X,5,2시간-3시간 이상,10-30분,4,3,X,X,
2023. 10. 12 오후 6:04:49,2학년,남자,소프트웨어개발과,게임,밤에(20시~24시),1~3시간,"영상 시청(유튜브, OTT)",한다,,1시간-2시간,밤,2800만원,O,10,1시간-2시간,30-1시간,3,1,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 6:05:24,2학년,남자,소프트웨어개발과,예술,새벽에(00시~6시),5~7시간,"영상 시청(유튜브, OTT)",한다,작곡,2시간-3시간 이상,밤,3억,O,10,2시간-3시간 이상,2시간 이상,2,2,O,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 6:05:36,2학년,남자,소프트웨어개발과,기타,아침(6시~9시),1시간 미만,소설,한다,책 읽기,0-30분,밤,최저임금,O,10,30-1시간,30-1시간,3,4,X,O(아래 질문에 답변해주세요!),
