타임스탬프,학년,성별,학과(전공),취미,평균 공부 시간,공부하는 시간,자격증 개수,출석,평균 수면 시간,희망 진로,수업 집중도,수업 집중도(전공),희망 연봉,학과 만족 O/X,취업 선호도,소셜 미디어 사용시간,통학 시간,학업 스트레스,교우관계,알바 유무,방과후 유무,방과후 만족도
2023. 10. 12 오후 3:48:49,2학년,남자,소프트웨어개발과,음악,2시간-3시간 이상,방과후(저녁),3,절대 안빠지죠,4~6시간 자요,취업,10,10,2500만,O,10,0-30분,30-1시간,1,1,X,O(아래 질문에 답변해주세요!),10
2023. 10. 12 오후 3:48:52,1학년,남자,금융경영과,운동,30분-1시간,방과후(저녁),1,한달에 한두번 이상 빠져요,6시간 이상 자요,아직 모르겠다,9,10,1000,X,6,1시간-2시간,10-30분,2,1,X,O(아래 질문에 답변해주세요!),10
2023. 10. 12 오후 3:48:54,2학년,남자,소프트웨어개발과,기타,1시간-2시간,기타,5,절대 안빠지죠,4~6시간 자요,대학교 진학,9,5,2800,O,8,1시간-2시간,10-30분,2,3,X,X,
2023. 10. 12 오후 3:49:18,2학년,남자,소프트웨어개발과,게임,30분-1시간,밤,3,절대 안빠지죠,6시간 이상 자요,취업,4,8,2400,O,10,30-1시간,10-30분,3,3,X,O(아래 질문에 답변해주세요!),8
2023. 10. 12 오후 3:49:26,2학년,남자,소프트웨어개발과,게임,30분-1시간,밤,4,절대 안빠지죠,4~6시간 자요,취업,5,8,잘모르겠습니다,O,10,2시간-3시간 이상,10-30분,2,1,X,O(아래 질문에 답변해주세요!),10
2023. 10. 12 오후 3:49:28,1학년,남자,금융경영과,기타,0-30분,기타,1,한달에 한두번 빠져요,6시간 이상 자요,취업,4,4,모르겠다,X,5,0-30분,10-30분,3,3,O,X,
2023. 10. 12 오후 3:49:35,2학년,남자,소프트웨어개발과,음악,2시간-3시간 이상,밤,3,절대 안빠지죠,4~6시간 자요,취업,9,9,5000만원,O,10,30-1시간,30-1시간,4,1,X,O(아래 질문에 답변해주세요!),10
2023. 10. 12 오후 3:49:39,1학년,남자,창업마케팅과,게임,30분-1시간,기타,1,한달에 한두번 빠져요,6시간 이상 자요,대학교 진학,9,8,초봉 1700정도..,O,6,1시간-2시간,30-1시간,3,2,X,X,10
2023. 10. 12 오후 3:49:47,1학년,남자,소프트웨어개발과,게임,30분-1시간,방과후(저녁),2,절대 안빠지죠,6시간 이상 자요,아직 모르겠다,10,10,1억,O,10,0-30분,1시간-2시간,1,1,X,O(아래 질문에 답변해주세요!),10
2023. 10. 12 오후 3:50:20,1학년,남자,소프트웨어개발과,영상시청,30분-1시간,방과후(저녁),2,절대 안빠지죠,2~4시간 자요,취업,8,10,3~4천,O,6,30-1시간,1시간-2시간,3,2,X,O(아래 질문에 답변해주세요!),7
2023. 10. 12 오후 3:50:24,1학년,남자,소프트웨어개발과,영상시청,0-30분,밤,3,절대 안빠지죠,2~4시간 자요,아직 모르겠다,4,10,30000000,O,10,2시간-3시간 이상,10-30분,2,2,X,O(아래 질문에 답변해주세요!),1
2023. 10. 12 오후 3:50:38,1학년,남자,소프트웨어개발과,음악,30분-1시간,밤,5,반년에 한두번 빠져요,4~6시간 자요,대학교 진학,7,9,3000천,O,10,1시간-2시간,30-1시간,2,3,X,O(아래 질문에 답변해주세요!),5
2023. 10. 12 오후 3:50:49,1학년,남자,소프트웨어개발과,게임,30분-1시간,밤,2,반년에 한두번 빠져요,4~6시간 자요,대학교 진학,5,1,1억,X,0,1시간-2시간,30-1시간,4,3,X,X,1
2023. 10. 12 오후 3:50:51,1학년,여자,소프트웨어개발과,기타,30분-1시간,밤,2,한달에 한두번 빠져요,4~6시간 자요,대학교 진학,9,7,잘 모르겠다,X,5,2시간-3시간 이상,30-1시간,2,3,O,X,
2023. 10. 12 오후 3:50:56,1학년,여자,소프트웨어개발과,음악,0-30분,밤,2,한달에 한두번 빠져요,4~6시간 자요,취업,8,5,3000만원,X,8,2시간-3시간 이상,10-30분,2,2,X,X,
